username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
general__326,1691439745.794986,False,False,False,False,False,isamupt,False,False
kacpe3rk,1691439806.1992638,False,True,False,False,False,isamupt,False,False
kamil_80546,1691439844.7805483,False,False,False,False,False,isamupt,False,False
piwi656,1691439905.544206,False,False,False,False,False,isamupt,False,False
gaca_wimpernstudio,1691439953.6133864,False,False,False,True,True,isamupt,False,False
krys.tian7777,1691439981.7860322,False,False,False,False,False,isamupt,False,False
krzys0098,1691440017.907082,False,False,False,False,False,isamupt,False,False
mari_o77988,1691440105.1545837,False,True,False,False,False,isamupt,False,False
ktsj5812,1691440172.1848128,False,False,False,False,False,isamupt,True,False
kuniccka,1691440203.273372,False,False,False,True,False,isamupt,False,False
maciekswid,1691440244.1550255,False,False,False,False,False,isamupt,False,False
gmarcel223,1691440284.5429518,False,False,False,False,False,isamupt,False,False
mnoskowiak,1691440312.7589664,False,False,False,False,False,isamupt,False,False
mati_097,1691440391.8723085,False,True,False,False,False,isamupt,False,False
mtzzdk,1691440450.6156917,False,False,False,False,False,isamupt,True,False
michasia.pvvvvv,1691442410.1962907,False,False,False,False,False,kacperblonsky,False,False
barto_szb,1691442452.3180642,False,False,False,False,False,kacperblonsky,True,False
kaszka.pryw4tne,1691442502.749738,False,True,False,False,False,kacperblonsky,False,False
xsylxia_xx,1691442595.7654724,False,True,False,False,False,kacperblonsky,False,False
wero.nikachmiel,1691442625.8900166,False,False,False,False,False,kacperblonsky,False,False
werk.a215,1691442668.048848,False,False,False,False,False,kacperblonsky,True,False
zuzianowak91,1691442702.159275,False,False,False,False,False,kacperblonsky,False,False
fanklubtylkodlaelity,1691442754.5999527,False,True,False,False,False,kacperblonsky,False,False
nvvalik_44112,1691442808.9812243,False,True,False,False,False,kacperblonsky,False,False
megauwusnie_,1691442849.4532585,False,False,False,False,False,kacperblonsky,False,False
blan_ka823,1691442887.6431775,False,False,False,False,False,kacperblonsky,False,False
xx.milenaaa_,1691442921.8508203,True,False,False,False,False,kacperblonsky,False,True
marchewa1232,1691443002.7481413,False,True,False,False,False,kacperblonsky,False,False
nikitamagical_,1691443063.256604,False,True,False,False,False,kacperblonsky,False,False
iiigorrr_prvt,1691443119.6147015,False,True,False,False,False,kacperblonsky,False,False
jadziaan00,1691443155.8471353,False,False,False,False,False,kacperblonsky,True,False
xenon098,1691443189.947143,True,False,False,False,False,kacperblonsky,False,True
mikk.o6404,1691443218.153267,False,False,False,False,False,kacperblonsky,True,False
